Id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2240,25,Travel_Rarely,883,Sales,26,1,Medical,1,3,Female,32,3,2,Sales Executive,4,Single,6180,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4,0
2722,40,Travel_Rarely,896,Research & Development,2,3,Medical,1,3,Male,68,3,1,Research Scientist,3,Divorced,2345,8045,2,Y,No,14,3,3,80,1,8,3,4,3,1,1,2,0
1090,49,Travel_Rarely,653,Research & Development,9,3,Life Sciences,1,2,Female,32,3,1,Research Scientist,3,Single,2272,17456,2,Y,No,11,3,3,80,0,8,5,2,3,2,2,2,0
942,47,Travel_Rarely,1147,Research & Development,8,3,Life Sciences,1,1,Male,56,3,1,Research Scientist,2,Single,2177,8952,4,Y,No,14,3,3,80,0,8,3,3,2,2,2,2,0
489,22,Travel_Rarely,581,Research & Development,3,1,Life Sciences,1,1,Female,61,3,1,Research Scientist,1,Married,2686,18154,1,Y,No,12,3,3,80,0,4,5,2,3,2,1,2,0
2554,46,Travel_Rarely,150,Research & Development,2,4,Technical Degree,1,4,Male,60,3,2,Manufacturing Director,4,Divorced,7379,17433,2,Y,No,11,3,3,80,1,12,3,2,6,3,1,4,0
1084,52,Travel_Rarely,638,Sales,7,5,Marketing,1,4,Female,62,3,5,Manager,2,Married,19068,17011,1,Y,No,15,3,3,80,1,33,3,3,33,14,1,15,0
690,44,Travel_Rarely,1117,Research & Development,1,4,Medical,1,1,Female,63,3,1,Laboratory Technician,4,Married,3294,21509,3,Y,Yes,14,3,3,80,1,10,1,3,6,5,1,3,0
2472,37,Travel_Rarely,309,Sales,10,4,Life Sciences,1,4,Female,88,2,2,Sales Executive,4,Divorced,6694,24223,2,Y,Yes,14,3,3,80,3,8,5,3,1,0,0,0,0
979,29,Travel_Rarely,542,Research & Development,2,4,Life Sciences,1,4,Female,42,3,2,Manufacturing Director,4,Divorced,4505,7122,0,Y,No,16,3,3,80,2,4,0,2,3,2,0,2,0
756,36,Travel_Rarely,1277,Research & Development,19,3,Medical,1,2,Female,83,4,1,Laboratory Technician,3,Married,3955,14074,1,Y,No,16,3,1,80,1,7,2,3,7,7,0,7,0
1976,51,Travel_Rarely,1302,Research & Development,2,3,Medical,1,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2,0
2316,49,Travel_Rarely,1418,Research & Development,1,3,Technical Degree,1,3,Female,36,3,1,Research Scientist,1,Married,3580,10554,2,Y,No,16,3,2,80,1,7,2,3,4,2,0,2,0
1229,35,Travel_Rarely,1271,Research & Development,11,3,Medical,1,4,Female,48,3,1,Research Scientist,2,Divorced,2645,3995,1,Y,No,12,3,3,80,1,5,3,3,5,2,0,2,0
118,59,Travel_Rarely,884,Research & Development,9,3,Life Sciences,1,3,Female,54,3,5,Research Director,3,Single,18041,17519,6,Y,No,11,3,3,80,0,27,2,3,3,2,1,2,0
2701,47,Travel_Rarely,359,Research & Development,2,4,Medical,1,1,Female,82,3,4,Research Director,3,Married,17169,26703,3,Y,No,19,3,2,80,2,26,2,4,20,17,5,6,0
1847,27,Travel_Rarely,1157,Research & Development,17,3,Technical Degree,1,3,Male,51,3,1,Research Scientist,2,Married,3058,13364,0,Y,Yes,16,3,4,80,1,6,3,2,5,2,1,1,0
281,23,Travel_Rarely,890,Research & Development,2,1,Medical,1,2,Male,44,3,1,Research Scientist,4,Married,3904,7973,1,Y,No,14,3,4,80,2,2,3,2,2,2,0,2,0
2398,50,Travel_Rarely,939,Research & Development,24,3,Life Sciences,1,4,Male,95,3,4,Manufacturing Director,3,Married,13973,4161,3,Y,Yes,18,3,4,80,1,22,2,3,12,11,1,5,0
1554,26,Travel_Rarely,1125,Research & Development,1,2,Life Sciences,1,4,Male,57,3,1,Laboratory Technician,1,Married,3743,20978,1,Y,Yes,18,3,4,80,0,3,3,2,3,2,1,2,1
2124,35,Travel_Rarely,619,Sales,1,3,Marketing,1,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,0
2683,49,Travel_Frequently,1475,Research & Development,28,2,Life Sciences,1,1,Male,97,2,2,Laboratory Technician,1,Single,4284,22710,3,Y,No,20,4,1,80,0,20,2,3,4,3,1,3,1
911,46,Non-Travel,1276,Sales,5,2,Life Sciences,1,3,Male,42,3,2,Sales Executive,4,Divorced,4187,6225,6,Y,No,17,3,3,80,1,19,3,3,2,2,2,2,0
2051,28,Travel_Rarely,304,Sales,9,4,Life Sciences,1,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,0
1344,39,Travel_Frequently,527,Research & Development,6,4,Life Sciences,1,3,Male,77,4,1,Research Scientist,4,Single,2799,18597,1,Y,No,25,4,4,80,0,10,2,3,10,4,0,1,0
2009,54,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,Y,No,12,3,4,80,0,20,4,2,4,3,0,3,0
366,32,Travel_Frequently,329,Research & Development,7,2,Life Sciences,1,1,Male,59,1,1,Laboratory Technician,4,Divorced,3211,3339,4,Y,No,21,4,4,80,3,10,2,3,7,7,0,7,1
1626,37,Travel_Rarely,691,Research & Development,6,4,Medical,1,4,Female,34,2,2,Healthcare Representative,3,Single,6646,3193,5,Y,No,11,3,1,80,0,17,2,4,6,3,1,2,0
2189,27,Travel_Rarely,1115,Research & Development,3,4,Medical,1,1,Male,54,2,1,Research Scientist,4,Single,2045,15174,0,Y,No,13,3,4,80,0,5,0,3,4,2,1,1,0
555,59,Travel_Rarely,1242,Research & Development,3,1,Life Sciences,1,3,Female,42,3,2,Healthcare Representative,4,Single,5258,19760,4,Y,No,11,3,1,80,0,10,2,3,3,2,0,2,0
1599,36,Travel_Rarely,561,Sales,12,4,Life Sciences,1,3,Female,48,3,3,Sales Executive,4,Single,10435,21086,3,Y,No,14,3,3,80,0,16,3,3,10,8,0,7,0
2516,42,Travel_Rarely,647,Sales,4,4,Marketing,1,2,Male,45,3,2,Sales Executive,1,Single,5155,2253,7,Y,No,13,3,4,80,0,9,3,4,6,4,1,5,0
304,36,Travel_Rarely,1084,Sales,10,4,Medical,1,2,Female,66,1,3,Sales Executive,4,Divorced,7104,24032,4,Y,No,13,3,2,80,3,13,3,3,3,2,1,2,0
2232,29,Travel_Rarely,1090,Sales,10,3,Marketing,1,4,Male,83,3,1,Sales Representative,2,Divorced,2297,17967,1,Y,No,14,3,4,80,2,2,2,3,2,2,2,2,0
203,28,Travel_Rarely,465,Research & Development,5,3,Medical,1,1,Male,83,3,1,Research Scientist,2,Single,2351,5182,5,Y,Yes,12,3,1,80,0,6,2,2,3,2,1,2,1
1230,32,Travel_Rarely,704,Sales,17,3,Other,1,4,Female,35,3,2,Sales Executive,3,Married,4163,17802,0,Y,No,14,3,1,80,1,8,2,2,7,7,7,7,0
2022,23,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,0
120,34,Travel_Rarely,954,Sales,14,4,Marketing,1,1,Male,95,3,2,Sales Executive,4,Married,5324,14255,9,Y,No,12,3,3,80,0,6,3,3,2,2,2,2,0
283,34,Travel_Rarely,1224,Research & Development,1,3,Life Sciences,1,1,Male,43,2,1,Research Scientist,2,Married,2996,5182,6,Y,No,11,3,1,80,1,6,2,3,4,2,0,3,0
